Category, Peers median
Books & Reference->All books & reference,0.68%
Books & Reference->Audiobook,1.03%
Books & Reference->Dictionary,0.63%
Books & Reference->E-reader,0.53%
Art & Design->All art & design,1.11%
Art & Design->Drawing,0.68%
Auto & Vehicles->All auto & vehicles,0.85%
Auto & Vehicles->Vehicle maintenance,0.73%
Auto & Vehicles->Vehicle shopping,0.27%
Beauty->All beauty,1.16%
Beauty->Cosmetics,0.74%
Beauty->Hairstyle,1.58%
Business->All business,0.94%
Business->Job seeking,0.51%
Comics*,0.53%
Communications,0.98%
Communications->Video Call,2.07%
Communications->Caller ID,0.78%
Communications->Email,0.39%
Dating*,0.74%
Education->All education,0.83%
Education->Driver’s education,0.36%
Education->Language education,0.50%
Education->Mathematics,0.32%
Education->Science education,0.58%
Education->Study guide,0.52%
Education->Test preparation,0.78%
Entertainment->All entertainment,1.15%
Entertainment->Coloring book,0.79%
Entertainment->Humor,0.60%
Events*,0.73%
Finance->All finance,0.67%
Finance->Cryptocurrency,0.56%
Finance->Insurance,1.02%
Finance->Investment,0.64%
Finance->Loan,0.55%
Finance->Mobile banking,0.48%
Finance->Mobile payment,0.40%
Finance->Personal finance,0.29%
Food & drink->All Food & drink,0.80%
Food & drink->Recipe,0.79%
Food & drink->Restaurant,0.78%
Health & fitness->All Health & fitness,0.69%
Health & fitness->Activity tracker,0.35%
Health & fitness->Meditation,0.76%
Health & fitness->Sleep,0.29%
House & home->All House & home,0.63%
House & home->Home automation,0.71%
Lifestyle->All Lifestyle,0.74%
Lifestyle->Horoscope,0.37%
Live television*,1.04%
Maps & navigation*,0.81%
Medical*,0.80%
Music & audio->All Music & audio,0.98%
Music & audio->Audio recorder,0.98%
Music & audio->Karaoke,1.43%
Music & audio->Lyrics,1.74%
Music & audio->Music instrument,0.62%
Music & audio->Radio,0.93%
Music & audio->Sound effect,0.44%
News & magazines->All News & magazines,0.65%
News & magazines->News aggregator,0.37%
Parenting*,0.47%
Personalization->All Personalization,0.75%
Personalization->Emoji,0.34%
Personalization->Emoticon,0.22%
Personalization->Keyboard,0.34%
Personalization->Launcher, -
Personalization->Lock screen,1.58%
Personalization->Ringtone,1.03%
Personalization->Theme,0.31%
Personalization->Wallpaper,1.02%
Photography->All Photography,1.33%
Photography->Camera,1.47%
Photography->Photo editor,1.40%
Productivity->All Productivity,0.74%
Productivity->Calendar,0.18%
Productivity->Notebook,0.18%
Shopping->All Shopping,0.60%
Shopping->Fashion,0.44%
Shopping->Loyalty program,0.29%
Social->All Social,0.92%
Social->Meet new people,0.63%
Sports*,0.75%
Tools,0.73%
Tools->Calculator,0.28%
Tools->Measurement,0.35%
Tools->Network connectivity,0.52%
Tools->Privacy & security,0.54%
Tools->Remote control,0.69%
Tools->Web browser,0.85%
Travel & local,0.84%
Travel & local->Air travel,0.53%
Travel & local->Hotels & vacation rental,0.30%
Travel & local->Public transport,0.48%
Travel & local->Taxi & rideshare,0.63%
Travel & local->Travel guide,0.90%
Video players & editors,1.61%
Video players & editors->Video editing,1.47%
Video players & editors->Video player,1.38%
Weather,0.30%